Name,Month ,Year,Value
Selangat,September,2014,864
Selangat, October,2014,801
Selangat,November,2014,645
Selangat,December,2014,734
Selangat,January ,2014,1419
Selangat,February ,2014,645
Selangat,March,2014,683
Selangat, April,2014,681
Selangat,May,2014,722
Selangat, June,2014,725
Selangat, July,2014,625
Selangat, August,2014,720
Puput,September,2014,0
Puput, October,2014,0
Puput,November,2014,0
Puput,December,2014,0
Puput,January ,2014,0
Puput,February ,2015,0
Puput,March,2015,0
Puput, April,2015,0
Puput,May,2015,0
Puput, June,2015,0
Kebasi , July,2015,0
Kebasi , August,2015,0
Kebasi ,September,2015,214
Kebasi , October,2015,507
Kebasi ,November,2015,550
Kebasi ,December,2015,442
Kebasi ,January ,2015,370
Kebasi ,February ,2015,806
Kebasi ,March,2015,0
Kebasi , April,2015,0
Kebasi ,May,2015,0
Kebasi , June,2015,0
Terubuk, July,2015,0
Terubuk, August,2015,0
Terubuk,September,2015,0
Terubuk, October,2015,0
Terubuk,November,2015,10
Terubuk,December,2016,21
Terubuk,January ,2016,28
Terubuk,February ,2016,16
Terubuk,March,2016,26
Terubuk, April,2016,34
Terubuk,May,2016,51
Terubuk, July,2016,31
Terubuk T.Macrura, August,2016,20
Terubuk T.Macrura,September,2016,21
Terubuk T.Macrura, October,2016,19
Terubuk T.Macrura,November,2016,24
Terubuk T.Macrura,December,2016,235
Terubuk T.Macrura,January ,2016,232
Terubuk T.Macrura,February ,2016,257
Terubuk T.Macrura,March,2016,239
Terubuk T.Macrura, April,2016,231
Terubuk T.Macrura,May,2016,236
Terubuk T.Macrura, June,2016,266
Terubuk T.Macrura, July,2016,257
Ikan Tiram, August,2016,317
Beliak Mata,September,2016,244
Beliak Mata, October,2016,215
Beliak Mata,November,2016,853
Beliak Mata,December,2016,752
Beliak Mata,January ,2016,849
Beliak Mata,February ,2016,936
Beliak Mata,March,2017,1017
Beliak Mata, April,2017,779
Beliak Mata,May,2017,740
Beliak Mata, June,2017,782
Terubuk, July,2017,800
Terubuk, August,2017,679
Terubuk,September,2017,861
Terubuk, October,2017,792
Terubuk,November,2017,0
Terubuk,December,2017,0
Terubuk,January ,2017,0
Terubuk,February ,2017,0
Terubuk,March,2017,0
Terubuk, April,2017,0
Terubuk,May,2017,0
Terubuk, June,2017,0
Terubuk T.Macrura, July,2018,0
Terubuk T.Macrura, August,2018,0
Ikan Tiram,September,2018,0
Ikan Tiram, October,2018,0
Ikan Tiram,November,2018,906
Ikan Tiram,December,2018,624
Ikan Tiram,January ,2018,854
Ikan Tiram,February ,2018,750
Ikan Tiram,March,2018,722
Ikan Tiram, April,2018,747
Ikan Tiram,May,2018,720
Ikan Tiram, June,2018,911
Ikan Tiram, July,2018,968
Ikan Tiram, August,2018,1076
Empirit,September,2018,871
Empirit, October,2018,930
Empirit,November,2018,888
Empirit,December,2018,921
Empirit,January ,2018,859
Empirit,February ,2018,934
Empirit,March,2018,878
Empirit, April,2018,834
Empirit,May,2018,797
Empirit, June,2018,799
Empirit, July,2018,746
Empirit, August,2018,776
Siakap,September,2018,39
Siakap, October,2018,37
Siakap,November,2018,54
Siakap,December,2018,72
Siakap,January ,2018,55
Siakap,February ,2018,65
Siakap,March,2018,61
Siakap, April,2018,63
Siakap,May,2018,47
Siakap, June,2018,54
Siakap, July,2018,25
Siakap, August,2018,20
Sebelah,September,2018,4
Sebelah, October,2018,21
Sebelah,November,2018,480
Sebelah,December,2018,390
Sebelah,January ,2018,284
