Name,Month ,Year,Value
Kebasi ,January ,2014,864
Kebasi ,February ,2014,801
Kebasi ,March,2014,645
Kebasi , April,2014,734
Kebasi ,May,2014,1419
Kebasi , June,2014,645
Kebasi , July,2014,683
Kebasi , August,2014,681
Kebasi ,September,2014,722
Kebasi , October,2014,725
Kebasi ,November,2014,625
Kebasi ,December,2014,720
Selangat,January ,2014,0
Selangat,February ,2014,0
Selangat,March,2014,0
Selangat, April,2014,0
Selangat,May,2014,0
Selangat, June,2014,0
Selangat, July,2014,0
Selangat, August,2014,0
Selangat,September,2014,0
Selangat, October,2014,0
Selangat,November,2014,0
Selangat,December,2014,0
Puput,January ,2014,214
Puput,February ,2014,507
Puput,March,2014,550
Puput, April,2014,442
Puput,May,2014,370
Puput, June,2014,806
Puput, August,2014,380
Puput,September,2014,449
Puput, October,2014,641
Puput,December,2014,481
Beliak Mata,January ,2014,547
Beliak Mata,February ,2014,837
Beliak Mata,March,2014,695
Beliak Mata, April,2014,631
Beliak Mata,May,2014,746
Beliak Mata, June,2014,673
Beliak Mata, July,2014,983
Beliak Mata, August,2014,703
Beliak Mata,September,2014,571
Beliak Mata, October,2014,905
Beliak Mata,November,2014,509
Beliak Mata,December,2014,409
Terubuk,January ,2014,2
Terubuk,February ,2014,2
Terubuk,March,2014,9
Terubuk, April,2014,4
Terubuk,May,2014,5
Terubuk, June,2014,1
Terubuk, July,2014,1
Terubuk, August,2014,1
Terubuk,September,2014,1
Terubuk, October,2014,1
Terubuk,November,2014,3
Terubuk,December,2014,3
Terubuk T.Macrura,January ,2014,0
Terubuk T.Macrura,February ,2014,0
Terubuk T.Macrura,March,2014,0
Terubuk T.Macrura, April,2014,0
Terubuk T.Macrura,May,2014,0
Terubuk T.Macrura, June,2014,0
Terubuk T.Macrura, July,2014,0
Terubuk T.Macrura, August,2014,0
Terubuk T.Macrura,September,2014,0
Terubuk T.Macrura, October,2014,0
Terubuk T.Macrura,November,2014,0
Terubuk T.Macrura,December,2014,0
Ikan Tiram,January ,2014,0
Ikan Tiram,February ,2014,1
Ikan Tiram,March,2014,0
Ikan Tiram, April,2014,0
Ikan Tiram,May,2014,0
Ikan Tiram, June,2014,0
Ikan Tiram, July,2014,0
Ikan Tiram, August,2014,0
Ikan Tiram,September,2014,0
Ikan Tiram, October,2014,0
Ikan Tiram,November,2014,0
Ikan Tiram,December,2014,0
Empirit,January ,2014,0
Empirit,February ,2014,0
Empirit,March,2014,0
Empirit, April,2014,0
Empirit,May,2014,0
Empirit, June,2014,0
Empirit, July,2014,0
Empirit, August,2014,0
Empirit,September,2014,0
Empirit, October,2014,0
Empirit,November,2014,0
Empirit,December,2014,0
Siakap,January ,2014,10
Siakap,February ,2014,21
Siakap,March,2014,28
Siakap, April,2014,16
Siakap,May,2014,26
Siakap, June,2014,34
Siakap, July,2014,51
Siakap, August,2014,31
Siakap,September,2014,20
Siakap, October,2014,21
Siakap,November,2014,19
Siakap,December,2014,24
Sebelah,January ,2014,235
Sebelah,March,2014,232
Sebelah, April,2014,257
Sebelah,May,2014,239
Sebelah, June,2014,231
Sebelah, July,2014,236
Sebelah, August,2014,266
Sebelah,September,2014,257
Sebelah, October,2014,317
Sebelah,November,2014,244
Sebelah,December,2014,215
Kebasi ,January ,2015,853
Kebasi ,February ,2015,752
Kebasi ,March,2015,849
Kebasi , April,2015,936
Kebasi ,May,2015,1017
Kebasi, June,2015,779
Kebasi , July,2015,740
Kebasi , August,2015,782
Kebasi ,September,2015,800
Kebasi , October,2015,679
Kebasi ,November,2015,861
Kebasi ,December,2015,792
Selangat,January ,2015,0
Selangat,February ,2015,0
Selangat,March,2015,0
Selangat, April,2015,0
Selangat,May,2015,0
Selangat, June,2015,0
Selangat, July,2015,0
Selangat, August,2015,0
Selangat,September,2015,0
Selangat, October,2015,0
Selangat,November,2015,0
Selangat,December,2015,0
Puput,February ,2015,906
Puput,March,2015,624
Puput, April,2015,854
Puput,May,2015,750
Puput, June,2015,722
Puput, July,2015,747
Puput, August,2015,720
Puput, October,2015,911
Puput,November,2015,968
Puput,December,2015,1076
Beliak Mata,January ,2015,871
Beliak Mata,February ,2015,930
Beliak Mata,March,2015,888
Beliak Mata, April,2015,921
Beliak Mata,May,2015,859
Beliak Mata, June,2015,934
Beliak Mata, July,2015,878
Beliak Mata, August,2015,834
Beliak Mata,September,2015,797
Beliak Mata, October,2015,799
Beliak Mata,November,2015,746
Beliak Mata,December,2015,776
Terubuk,January ,2015,39
Terubuk,February ,2015,37
Terubuk,March,2015,54
Terubuk, April,2015,72
Terubuk,May,2015,55
Terubuk, June,2015,65
Terubuk, July,2015,61
Terubuk, August,2015,63
Terubuk,September,2015,47
Terubuk, October,2015,54
